time	V(v+)	I(I1)
Step Information: Illu=86  (Step: 1/7)
0.000000000000000e+00	2.347700e-01	0.000000e+00
1.279999963799128e-07	2.329975e-01	9.149902e-07
2.559999927598255e-07	2.312371e-01	1.820301e-06
5.119999855196511e-07	2.277571e-01	3.601842e-06
1.023999971039302e-06	2.209843e-01	7.048815e-06
2.047999942078604e-06	2.082837e-01	1.348598e-05
4.095999884157209e-06	1.863818e-01	2.465395e-05
8.191999768314417e-06	1.536906e-01	4.157227e-05
1.638399953662883e-05	1.135912e-01	6.199912e-05
3.276799907325767e-05	7.446904e-02	8.075390e-05
6.553599814651534e-05	4.397845e-02	9.422636e-05
1.310719962930307e-04	2.412997e-02	1.024193e-04
2.621439925860614e-04	1.267044e-02	1.069500e-04
5.242879851721227e-04	6.496177e-03	1.093336e-04
1.048575970344245e-03	3.266198e-03	1.105563e-04
2.025138470344245e-03	1.578979e-03	1.110234e-04
3.001700970344245e-03	9.824284e-04	1.113395e-04
3.978263470344245e-03	7.232729e-04	1.114619e-04
4.954825970344245e-03	5.743878e-04	1.115313e-04
5.931388470344245e-03	4.770343e-04	1.115765e-04
6.907950970344245e-03	4.081855e-04	1.116086e-04
7.884513470344245e-03	3.568387e-04	1.116326e-04
8.861075970344245e-03	3.170369e-04	1.116512e-04
9.837638470344245e-03	2.852629e-04	1.116660e-04
1.179076347034425e-02	2.376861e-04	1.116883e-04
1.472045097034425e-02	1.901750e-04	1.117106e-04
1.862670097034425e-02	1.501876e-04	1.117294e-04
2.350951347034425e-02	1.189453e-04	1.117440e-04
3.132201347034425e-02	8.925218e-05	1.117580e-04
4.401732597034425e-02	6.350041e-05	1.117701e-04
6.647826347034425e-02	4.204268e-05	1.117802e-04
1.114001384703442e-01	2.508868e-05	1.117882e-04
2.227282634703442e-01	1.254854e-05	1.117941e-04
6.465563884703442e-01	4.322847e-06	1.117980e-04
9.795642009703442e-01	2.853285e-06	1.117987e-04
9.990954509703442e-01	2.797507e-06	1.117987e-04
